alg      instance      k  rep    v         
G        flat50-1      0  871    541       
G        flat50-1      0  872    540       
G        flat50-1      0  873    541       
G        flat50-1      0  874    542       
G        flat50-1      0  875    541       
G        flat50-1      0  876    542       
G        flat50-1      0  877    540       
G        flat50-1      0  878    542       
G        flat50-1      0  879    540       
G        flat50-1      0  880    543       
G        flat50-1      0  881    542       
G        flat50-1      0  882    541       
G        flat50-1      0  883    543       
G        flat50-1      0  884    541       
G        flat50-1      0  885    543       
G        flat50-1      0  886    541       
G        flat50-1      0  887    541       
G        flat50-1      0  888    542       
G        flat50-1      0  889    540       
G        flat50-1      0  890    542       
G        flat50-1      0  891    541       
G        flat50-1      0  892    543       
G        flat50-1      0  893    541       
G        flat50-1      0  894    543       
G        flat50-1      0  895    541       
G        flat50-1      0  896    541       
G        flat50-1      0  897    542       
G        flat50-1      0  898    540       
G        flat50-1      0  899    538       
G        flat50-1      0  900    544       
G        flat50-1      0  901    538       
G        flat50-1      0  902    541       
G        flat50-1      0  903    540       
G        flat50-1      0  904    539       
G        flat50-1      0  905    539       
G        flat50-1      0  906    542       
G        flat50-1      0  907    542       
G        flat50-1      0  908    540       
G        flat50-1      0  909    544       
G        flat50-1      0  910    541       
G        flat50-1      0  911    543       
G        flat50-1      0  912    542       
G        flat50-1      0  913    541       
G        flat50-1      0  914    540       
G        flat50-1      0  915    543       
G        flat50-1      0  916    541       
G        flat50-1      0  917    540       
G        flat50-1      0  918    544       
